[     417ms] [LOG] [tenantService] rowToTenant INPUT: {slug: gpsthailand, data.theme: Object, data.theme.primaryColor: #ff8800, full row.data keys: Array(13)} @ https://gpsthailand.centerlink.co.th/assets/index-VNRb2XwN.js:236
[  462551ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  464710ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  495000ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  496143ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  498259ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  528397ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  529606ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  531814ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  561928ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  563028ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  565143ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  595298ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  596441ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  598566ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  628732ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  629869ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  631968ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  662308ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
[  663476ms] [ERROR] Failed to load resource: the server responded with a status of 404 () @ https://api.centerlink.co.th/api/events?deviceId=205&from=2026-08-25T17:00:00.000Z&to=2026-08-26T16:59:59.999Z:0
